brand,name,cin,domain,career_url,ats,verified
Razorpay,RAZORPAY SOFTWARE PRIVATE LIMITED,U72200KA2013PTC097332,razorpay.com,https://boards.greenhouse.io/razorpaysoftwareprivatelimited,GREENHOUSE,YES
Groww,GROWW INVEST TECH PRIVATE LIMITED,U74999KA2015PTC082455,groww.in,https://boards.greenhouse.io/groww,GREENHOUSE,YES
InMobi,INMOBI PRIVATE LIMITED,U72900KA2011PTC058998,inmobi.com,https://boards.greenhouse.io/inmobi,GREENHOUSE,YES
Glance,GLANCE DIGITAL EXPERIENCE PVT LTD,U72900KA2011PTC058999,glance.com,https://boards.greenhouse.io/glance,GREENHOUSE,YES
Porter,PORTER LOGISTICS PRIVATE LIMITED,U63030KA2014PTC077962,porter.in,https://boards.greenhouse.io/porter,GREENHOUSE,YES
Paytm,ONE97 COMMUNICATIONS LIMITED,U72200MH2007PTC173821,paytm.com,https://jobs.lever.co/paytm,LEVER,YES
CRED,DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,U74999KA2018PTC118991,cred.club,https://jobs.lever.co/cred,LEVER,YES
Meesho,MEESHO SUPPLY CHAIN PRIVATE LIMITED,U72900KA2019PTC134567,meesho.com,https://jobs.lever.co/meesho,LEVER,YES
Fi Money,EPIFI TECHNOLOGIES PRIVATE LIMITED,U65990KA2019PTC124778,fi.money,https://jobs.lever.co/epifi,LEVER,YES
Nium,NIUM PTE LTD INDIA,U72900KA2019PTC124780,nium.com,https://jobs.lever.co/nium,LEVER,YES
Freshworks,FRESHWORKS INC INDIA PRIVATE LIMITED,U72900TN2010PLC075256,freshworks.com,https://careers.smartrecruiters.com/Freshworks,SMARTRECRUITERS,YES
Unacademy,KARNA LEARNING PRIVATE LIMITED,U72900KA2018PTC109577,unacademy.com,https://careers.smartrecruiters.com/Unacademy,SMARTRECRUITERS,YES
Swiggy,SWIGGY BUNDL TECHNOLOGIES PRIVATE LIMITED,U72900KA2019PTC125488,swiggy.com,https://careers.smartrecruiters.com/Swiggy,SMARTRECRUITERS,YES
Cars24,CARS24 SERVICES PRIVATE LIMITED,U74999DL2015PTC281154,cars24.com,https://careers.smartrecruiters.com/Cars24,SMARTRECRUITERS,YES
NoBroker,NOBROKER TECHNOLOGIES SOLUTIONS PVT LTD,U72900MH2013PTC246588,nobroker.com,https://careers.smartrecruiters.com/NoBroker,SMARTRECRUITERS,YES
BigBasket,SUPERMARKET GROCERY SUPPLIES PVT LTD,U72900KA2010PTC054795,bigbasket.com,https://bigbasket.darwinbox.com/ms/candidate/careers,DARWINBOX,YES
TCS,TATA CONSULTANCY SERVICES LIMITED,L72200MH1995PLC085624,tcs.com,https://www.tcs.com/careers,GENERIC,YES
Infosys,INFOSYS LIMITED,L72200KA1981PLC004276,infosys.com,https://career.infosys.com/joblist,GENERIC,YES
Wipro,WIPRO LIMITED,L72200MH1968PLC014594,wipro.com,https://careers.wipro.com,GENERIC,YES
HCL Tech,HCL TECHNOLOGIES LIMITED,L72200MH1969PLC014636,hcltech.com,https://www.hcltech.com/careers,GENERIC,YES
Tech Mahindra,TECH MAHINDRA LIMITED,L72200MH1975PLC018337,techmahindra.com,https://careers.techmahindra.com,GENERIC,YES
Mphasis,MPHASIS LIMITED,L72200MH2000PLC128892,mphasis.com,https://careers.mphasis.com,GENERIC,YES
Hexaware,HEXAWARE TECHNOLOGIES LIMITED,L72200MH1991PLC063815,hexaware.com,https://hexaware.com/careers,GENERIC,YES
Mastek,MASTEK LIMITED,L72200MH2000PLC128893,mastek.com,https://www.mastek.com/careers,GENERIC,YES
Persistent,PERSISTENT SYSTEMS LIMITED,L72200MH1981PLC024013,persistent.com,https://www.persistent.com/careers,GENERIC,YES
Zensar,ZENSAR TECHNOLOGIES LIMITED,L72200MH1991PLC063816,zensar.com,https://www.zensar.com/careers,GENERIC,YES
Cyient,CYIENT LIMITED,L72200MH1991PLC063817,cyient.com,https://www.cyient.com/careers,GENERIC,YES
ICICI Bank,ICICI BANK LIMITED,L65190MH1994PLC080618,icicibank.com,https://www.icicibank.com/careers,GENERIC,YES
HDFC Bank,HDFC BANK LIMITED,L65920MH1994PLC080899,hdfcbank.com,https://www.hdfcbank.com/personal/about-us/careers,GENERIC,YES
SBI,STATE BANK OF INDIA,L65191MH1921PLC004163,sbi.co.in,https://sbi.co.in/web/careers,GENERIC,YES
Bank of Baroda,BANK OF BARODA,L65190MH1943PLC004756,bankofbaroda.in,https://www.bankofbaroda.in/careers,GENERIC,YES
PNB,PUNJAB NATIONAL BANK,L65191MH1935PLC002622,pnbindia.in,https://www.pnbindia.in/recruitment.html,GENERIC,YES
Axis Bank,AXIS BANK LIMITED,L65191MH1943PLC004757,axisbank.com,https://www.axisbank.com/career,GENERIC,YES
